Item;Condition;Familiarity;Compositionality;Predictability;Register;Spelling;Pin_yin;Ur_Pinyin;Fig_Transl;Lit_Transl;Last_char;Strokes;StrokeDiff
31;diffT;4.759;NA;0.909;NA;日新月仪;ri4 xin1 yue4 yi2;NA;NA;sun new moon ceremony;仪;5;-1
31;sameT;4.759;NA;0.909;NA;日新月亦;ri4 xin1 yue4 yi4;NA;NA;sun new moon also;亦;6;0
31;noP;4.759;NA;0.909;NA;日新月汁;ri4 xin1 yue4 zhi1;NA;NA;sun new moon juice;汁;5;-1
32;corr;4.543;3.235;0.538;0.889;有的放矢;you3 de5 fang4 shi3;yǒu de fàng shǐ;to have a precise goal;have target throw arrow;矢;5;NA
32;diffT;4.543;NA;0.538;NA;有的放石;you3 de5 fang4 shi2;NA;NA;have target throw rock;石;5;0
32;sameT;4.543;NA;0.538;NA;有的放史;you3 de5 fang4 shi3;NA;NA;have target throw history;史;5;0
32;noP;4.543;NA;0.538;NA;有的放叶;you3 de5 fang4 ye4;NA;NA;have target throw leaf;叶;5;0
33;corr;4.256;3.898;0.75;0.963;标本兼治;biao1 ben3 jian1 zhi4;biāo běn jiān zhì;deal with multiple problems;surface root together treat;治;8;NA
33;diffT;4.256;NA;0.75;NA;标本兼直;biao1 ben3 jian1 zhi2;NA;NA;surface root together straighten;直;8;0
33;sameT;4.256;NA;0.75;NA;标本兼质;biao1 ben3 jian1 zhi4;NA;NA;surface root together question;质;8;0
33;noP;4.256;NA;0.75;NA;标本兼鱼;biao1 ben3 jian1 yu2;NA;NA;surface root together fish;鱼;8;0
34;corr;4.719;4.474;0.867;0.889;根深蒂固;gen1 shen1 di4 gu4;gēn shēn dì gù;deeply rooted thing;root deep sprout strong;固;8;NA
34;diffT;4.719;NA;0.867;NA;根深蒂沽;gen1 shen1 di4 gu1;NA;NA;root deep sprout buy;沽;8;0
34;sameT;4.719;NA;0.867;NA;根深蒂故;gen1 shen1 di4 gu4;NA;NA;root deep sprout old;故;9;1
34;noP;4.719;NA;0.867;NA;根深蒂直;gen1 shen1 di4 zhi2;NA;NA;root deep sprout straighten;直;8;0
35;corr;4.930;4.439;1;0.704;欢天喜地;huan1 tian1 xi3 di4;huān tiān xǐ dì;extremely happy;happy sky joyful earth;地;6;NA
35;diffT;4.930;NA;1;NA;欢天喜籴;huan1 tian1 xi3 di3;NA;NA;happy sky joyful buy grain;籴;8;2
35;sameT;4.930;NA;1;NA;欢天喜弟;huan1 tian1 xi3 di4;NA;NA;happy sky joyful brother;弟;9;3
35;noP;4.930;NA;1;NA;欢天喜怡;huan1 tian1 xi3 yi2;NA;NA;happy sky joyful harmonious;怡;8;2
36;corr;4.630;4.686;0.769;0.519;求真务实;qiu2 zhen1 wu4 shi2;qiú zhēn wù shí;do things seriously;search truth concentrate truth;实;8;NA
36;diffT;4.630;NA;0.769;NA;求真务式;qiu2 zhen1 wu4 shi4;NA;NA;search truth concentrate type;式;6;-2
36;sameT;4.630;NA;0.769;NA;求真务时;qiu2 zhen1 wu4 shi2;NA;NA;search truth concentrate hour;时;7;-1
