Item;Condition;Familiarity;Compositionality;Predictability;Register;Spelling;Pin_yin;Ur_Pinyin;Fig_Transl;Lit_Transl;Last_char;Strokes;StrokeDiff;Frequency;Frequency_Percentage;Sem_Distance;Levenshtein_Distance;Relative_Frequency
25;noP;4.753;NA;1;NA;心甘情联;xin1 gan1 qing2 lian2;NA;NA;heart sweet emotion ally;联;12;-2;120301;0.062170%;0.653144329786301;1;0.000621697684851
26;corr;4.813;4.6;1;0.889;志同道合;zhi4 tong2 dao4 he2;zhì tóng dào hé;To have the same principles;will same road align;合;6;NA;239277;0.123655%;NA;0;0.001236547966668
26;diffT;4.813;NA;1;NA;志同道吓;zhi4 tong2 dao4 he4;NA;NA;will same road scare;吓;6;0;14620;0.007555%;0.787495136260986;0.6;0.000075553986688
26;sameT;4.813;NA;1;NA;志同道何;zhi4 tong2 dao4 he2;NA;NA;will same road carry;何;7;1;184335;0.095262%;0.647450953722;0.5;0.000952615877981
26;noP;4.813;NA;1;NA;志同道亦;zhi4 tong2 dao4 yi4;NA;NA;will same road also;亦;6;0;37960;0.019617%;0.535762548446655;0.4;0.000196171637118
27;corr;4.679;3.847;1;0.741;情有独钟;qing2 you3 du2 zhong1;qíng yǒu dú zhōng;Attraction;love have only concentrate;钟;9;NA;36770;0.019002%;NA;0;0.000190021894016
27;diffT;4.679;NA;1;NA;情有独重;qing2 you3 du2 zhong4;NA;NA;love have only heavy;重;9;0;282843;0.146169%;0.592411518096924;1;0.001461690578435
27;sameT;4.679;NA;1;NA;情有独衷;qing2 you3 du2 zhong1;NA;NA;love have only innerfeelings;衷;10;1;5781;0.002988%;0.577591061592102;0.538461538461538;0.000029875348635
27;noP;4.679;NA;1;NA;情有独珏;qing2 you3 du2 jue2;NA;NA;love have only jade;珏;9;0;172;0.000089%;0.633807599544525;0.888888888888889;0.000000888870432
28;corr;4.66;4.268;1;0.815;惊天动地;jing1 tian1 dong4 di4;jīng tiān dòng dì;Huge impact;shock sky move ground;地;6;NA;969349;0.500945%;NA;0;0.005009451535006
28;diffT;4.66;NA;1;NA;惊天动邸;jing1 tian1 dong4 di3;NA;NA;shock sky move residence;邸;7;1;1521;0.000786%;0.837331354618073;0.6;0.000007860301898
28;sameT;4.66;NA;1;NA;惊天动弟;jing1 tian1 dong4 di4;NA;NA;shock sky move littlebrother;弟;7;1;42706;0.022070%;0.723620921373367;0.833333333333333;0.000220698259609
28;noP;4.66;NA;1;NA;惊天动违;jing1 tian1 dong4 wei2;NA;NA;shock sky move disobey;违;7;1;22751;0.011757%;0.754380196332932;1;0.000117573785987
29;corr;4.731;3.915;1;0.815;我行我素;wo3 xing2 wo3 su4;wǒ xíng wǒ sù;Not care about people's opinions;me walk me essence;素;10;NA;59100;0.030542%;NA;0;0.000305420014586
29;diffT;4.731;NA;1;NA;我行我俗;wo3 xing2 wo3 su2;NA;NA;me walk me popular;俗;9;-1;17463;0.009025%;0.613324731588364;0.8;0.000090246188066
29;sameT;4.731;NA;1;NA;我行我速;wo3 xing2 wo3 su4;NA;NA;me walk me fast;速;10;0;65094;0.033640%;0.596226394176483;1;0.000336396115558
29;noP;4.731;NA;1;NA;我行我姚;wo3 xing2 wo3 yao2;NA;NA;me walk me handsome;姚;9;-1;4806;0.002484%;0.559463769197464;0.8;0.000024836693572
30;corr;4.443;2.805;1;0.852;扑朔迷离;pu1 shuo4 mi2 li2;pū shuò mí lí;not able to tell with certainty;jump male uncertain distinguish;离;10;NA;100744;0.052063%;NA;0;0.000520630016065
30;diffT;4.443;NA;1;NA;扑朔迷莉;pu1 shuo4 mi2 li4;NA;NA;jump male uncertain jasmine;莉;10;0;8289;0.004284%;0.755879044532776;0.777777777777778;0.000042836319812
30;sameT;4.443;NA;1;NA;扑朔迷梨;pu1 shuo4 mi2 li2;NA;NA;jump male uncertain pear;梨;11;1;1884;0.000974%;0.771393015980721;0.777777777777778;0.000009736231937
30;noP;4.443;NA;1;NA;扑朔迷素;pu1 shuo4 mi2 su4;NA;NA;jump male uncertain essence;素;10;0;59100;0.030542%;0.814276620745659;0.666666666666667;0.000305420014586
31;corr;4.759;4.05;0.909;0.667;日新月异;ri4 xin1 yue4 yi4;rì xīn yuè yì;change day after day;sun new moon different;异;6;NA;52735;0.027253%;NA;0;0.000272526640765
31;diffT;4.759;NA;0.909;NA;日新月仪;ri4 xin1 yue4 yi2;NA;NA;sun new moon ceremony;仪;5;-1;19064;0.009852%;0.605431348085403;0.833333333333333;0.000098519918072
