"Item","Condition","Familiarity","Compositionality","Predictability","Register","Spelling","Pin_yin","Ur_Pinyin","Fig_Transl","Lit_Transl","Last_char","Strokes","StrokeDiff","Frequency","Frequency_Percentage","Sem_Distance","Levenshtein_Distance","logFrequency","Group","List","correct_response"
38,"diffT",4.652,NA,0.769,NA,"独树一直","du2 shu4 yi1 zhi2",NA,NA,"only stand one straighten","直",8,0,169439,"0.087564%",0.665597528219223,0.75,12.0402482590237,"G1","L2","false"
38,"sameT",4.652,NA,0.769,NA,"独树一质","du2 shu4 yi1 zhi4",NA,NA,"only stand one question","质",8,0,104560,"0.054035%",0.654701173305511,0.8,11.5575163482981,"G1","L3","false"
39,"corr",4.324,3.765,1,0.852,"琳琅满目","lin2 lang2 man3 mu4","lín láng mǎn mù","beautiful things to see","beautiful jem full eye","目",5,NA,180827,"0.093449%",NA,0,12.1052960520738,"G3","L2","true"
39,"diffT",4.324,NA,1,NA,"琳琅满母","lin2 lang2 man3 mu3",NA,NA,"beautiful jem full mother","母",5,0,71462,"0.036930%",0.625924855470657,1,11.1769211188712,"G3","L3","false"
39,"sameT",4.324,NA,1,NA,"琳琅满木","lin2 lang2 man3 mu4",NA,NA,"beautiful jem full tree","木",4,-1,54433,"0.028130%",0.552642494440079,1,10.904725866573,"G3","L1","false"
4,"corr",4.93,4.246,1,0.815,"再接再厉","zai4 jie1 zai4 li4","zài jiē zài lì","To persevere","again continue again dedicate","厉",5,NA,17726,"0.009161%",NA,0,9.78278776729834,"G1","L1","true"
4,"diffT",4.93,NA,1,NA,"再接再礼","zai4 jie1 zai4 li3",NA,NA,"again continue again gift","礼",5,0,35612,"0.018404%",0.614800751209259,1,10.4804379386936,"G1","L2","false"
4,"sameT",4.93,NA,1,NA,"再接再立","zai4 jie1 zai4 li4",NA,NA,"again continue again stand","立",5,0,204985,"0.105933%",0.570423543453217,0.5,12.2306920847117,"G1","L3","false"
40,"corr",4.828,4.521,1,0.556,"甜言蜜语","tian2 yan2 mi4 yu3","tián yán mì yǔ","to use flattering words","sweet words honey speech","语",9,NA,82805,"0.042792%",NA,0,11.3242437250236,"G2","L3","true"
40,"diffT",4.828,NA,1,NA,"甜言蜜鱼","tian2 yan2 mi4 yu2",NA,NA,"sweet words honey fish","鱼",8,-1,40452,"0.020905%",0.699845641851425,0.818181818181818,10.6078713650221,"G2","L1","false"
40,"sameT",4.828,NA,1,NA,"甜言蜜俣","tian2 yan2 mi4 yu3",NA,NA,"sweet words honey big","俣",9,0,197,"0.000102%",0.692597001791,0.5,5.28320372873799,"G2","L2","false"
41,"corr",4.782,4.322,1,0.778,"精打细算","jing1 da3 xi4 suan4","jīng dǎ xì suàn","to plan in detail","refined do subtle count","算",14,NA,105293,"0.054414%",NA,0,11.5645022191792,"G2","L3","true"
41,"diffT",4.782,NA,1,NA,"精打细酸","jing1 da3 xi4 suan1",NA,NA,"refined do subtle sour","酸",14,0,14855,"0.007677%",0.712796568870544,1,9.60609178789671,"G2","L1","false"
41,"sameT",4.782,NA,1,NA,"精打细蒜","jing1 da3 xi4 suan4",NA,NA,"refined do subtle garlic","蒜",13,-1,1091,"0.000564%",0.703918963670731,0.833333333333333,6.99484998583307,"G2","L2","false"
42,"corr",4.382,3.608,1,0.815,"耐人寻味","nai4 ren2 xun2 wei4","nài rén xún wèi","to spark the imagination","resist people search taste","味",8,NA,40704,"0.021035%",NA,0,10.6140816466998,"G2","L3","true"
42,"diffT",4.382,NA,1,NA,"耐人寻违","nai4 ren2 xun2 wei2",NA,NA,"resist people search disobey","违",7,-1,22751,"0.011757%",0.673227787017822,1,10.032364379457,"G2","L1","false"
42,"sameT",4.382,NA,1,NA,"耐人寻畏","nai4 ren2 xun2 wei4",NA,NA,"resist people search fear","畏",9,1,6722,"0.003474%",0.626778274774551,1,8.81314100828505,"G2","L2","false"
43,"corr",4.632,4.431,1,0.778,"自始至终","zi4 shi3 zhi4 zhong1","zì shǐ zhì zhōng","endless","from beginning to end","终",8,NA,72533,"0.037484%",NA,0,11.191796909697,"G3","L2","true"
43,"diffT",4.632,NA,1,NA,"自始至重","zi4 shi3 zhi4 zhong4",NA,NA,"from beginning to heavy","重",9,1,282843,"0.146169%",0.567040413618088,1,12.5526472523654,"G3","L3","false"
43,"sameT",4.632,NA,1,NA,"自始至衷","zi4 shi3 zhi4 zhong1",NA,NA,"from beginning to innerfeelings","衷",10,2,5781,"0.002988%",0.523495584726334,0.733333333333333,8.66233195708248,"G3","L1","false"
