"Item","Condition","Predictability","Spelling","Pin_yin","Ur_Pinyin","Fig_Transl","Lit_Transl","Last_char","Strokes","StrokeDiff"
90,"diffT",NA,"舞文弄模","wu3 wen2 nong4 mo2",NA,NA,"play writing manipulate model","模",13,2
90,"sameT",NA,"舞文弄磨","wu3 wen2 nong4 mo4",NA,NA,"play writing manipulate grind","磨",16,-1
91,"corr",1,"若隐若现","ruo4 yin3 ruo4 xian4","ruò yǐn ruò xiàn","be vague","like hide like appear","现",8,NA
91,"diffT",NA,"若隐若贤","ruo4 yin3 ruo4 xian2",NA,NA,"like hide like worthy","贤",8,0
91,"sameT",NA,"若隐若限","ruo4 yin3 ruo4 xian4",NA,NA,"like hide like limit","限",8,0
92,"corr",1,"茶余饭后","cha2 yu2 fan4 hou4","chá yú fàn hòu","free time after eating","tea after rice after","后",6,NA
92,"diffT",NA,"茶余饭吼","cha2 yu2 fan4 hou3",NA,NA,"tea after rice to_roar","吼",7,-1
92,"sameT",NA,"茶余饭㫗","cha2 yu2 fan4 hou4",NA,NA,"tea after rice thickness","㫗",7,-1
93,"corr",1,"见义勇为","jian4 yi4 yong3 wei2","jiàn yì yǒng wéi","to be brave","see justice brave act","为",4,NA
93,"diffT",NA,"见义勇未","jian4 yi4 yong3 wei4",NA,NA,"see justice brave not_yet","未",5,-1
93,"sameT",NA,"见义勇韦","jian4 yi4 yong3 wei2",NA,NA,"see justice brave leather","韦",4,0
94,"corr",1,"触目惊心","chu4 mu4 jing1 xin1","chù mù jīng xīn","heart-wrenching sight","touch eye shock heart","心",4,NA
